author,content,poem name,age,type
edmund spenser,joy life full oft loving youi bless lot lucky placed mishap rue much mean love embased equal heavens much gracedin rest ye might inventsome heavenly wit whose verse could enchasedyour glorious name golden monument since ye deignd goodly relentto thrall little worth little shall spentin setting immortal praises forth whose lofty argument uplifting meshall lift unto high degree,"['Joy of my life, full oft for loving you']",Renaissance,Love
lady mary wroth,sweet shades doe seeke give delightto mee deeme delight vilde placebutt torment sorrow mine owne disgraceto taste joy vaine pleasing sight show pleasures saw never nightof greife wher joyings fauning smiling faceappeers day wher griefe found never spaceyett sigh grone envies spite butt mee world woes doe ly els mee harmes strive rely attend like servants bound mee heat desire frosts care prove wanting love yett surfett doe loveburne yett freeze better hell bee,from Pamphilia to Amphilanthus: 17,Renaissance,Love
lady mary wroth,love like jugler comes play prise minds draw wonders admire see cuningly hee wanting eyes yett deseave best sight desire wanton child hee faine fireso pretely none sees disguise finely doe tricks wee fooles hirethe badge office tirannies end jugling hee doth makeas hee harts stead eyes doth takefor men theyr slieghts abusethe sight nimble delightful skill butt hee play gaine lost yett childlike wee nott sports refuse,from Pamphilia to Amphilanthus: 2,Renaissance,Love
lady mary wroth,time cause unrestby hopd bee blesthow cruell art thou turned first gavst lyfe unto love still pleasure nott moveor change though ever burned thee slackd left undunone loving rite soe wunnthy rage bitter changing noe minutes shall see wherein may least happy beethy favors soe estranging blame thy self nott folly time gave time butt bee holly true love ends best lovethunworhty love doth seeke endsa worthy love butt worth pretendsnor thoughts itt proveth stay thy swiftnes cruell time lett mee blessed climeto joy may prayse thee lett mee pleasure sweetly tastingjoy love faith nott wastingand fames wings ile rayse thee never shall thy glory dyingbee untill thine owne untyingthat time noe longer liveth tis gaine tyme lend since soe thy fame shall never endbutt joy giveth,from Pamphilia to Amphilanthus: Song 5,Renaissance,Love
lady mary wroth,love peruse seeke findehow corner mindeis twinewoven shine webb ill made foule framd bastard father namd mecannot bee deare behold shall seefaith hive love bee doe bring gaine sting pray desect sinewes vaines hold loves life gaines lying bareto despaire thus anotamiseall body heart prise truejust close truncke embalme chest power still shall rest joy entombe loves doome,"from The Countesse of Montgomerys Urania: Love peruse me, seeke, and finde",Renaissance,Love
lady mary wroth,beeheld image deerewith greedy lookes mine eyes would way bend fear desire inwardly contend feare bee markd desire drawe still neere soule speritt wowld apeer boldnes waranted pretendto bee genius yett durst nott lendmy eyes trust wher others seemed soe cleere search whence danger rose unworthynes mee restas stervd eyes must nott sight bee blest jealousie poyson disclose yett hart unseense jealous eyethe truer image shall triumph lye,from Pamphilia to Amphilanthus: 4,Renaissance,Love
lady mary wroth,love leave urge thou knowst thou hast hand tis cowardise strive wher none resist pray thee leave yeeld unto thy band doe nott thus still thine owne powre persist beehold yeeld lett forces bee dismist ame thy subject conquerd bound stand never thy foe butt thy claime assistseeking thy due withstand butt itt seemes thou wouldst thee love doe confess twas thy made mee chuse thy faire showes made mee lover provewhen freedome paine refuse yett sir god boyship dispise charmes obay butt love nott want eyes,from Pamphilia to Amphilanthus: 7,Renaissance,Love
sir thomas wyatt,flee sometime seekwith naked foot stalking chamber seen gentle tame meek wild rememberthat sometime put danger take bread hand range busily seeking continual change thanked fortune hath otherwisetwenty times better special thin array pleasant guise loose gown shoulders fall caught arms long small therewith sweetly kiss softly said dear heart like dream lay broad waking turned thorough gentleness strange fashion forsaking leave go goodness also use newfangleness since kindly served would fain know hath deserved,Remembrance,Renaissance,Love
second baron vaux of harrowden thomas  lord vaux,loathe love youth thought sweet time requires behove methinks meet lusts leave fancies fled tract time begins weavegrey hairs upon head age stealing stepshath clawed crutch lusty life away leapsas none muse doth delightme hand pen plight yore reason deniesthis youthly idle rhyme day day cries leave toys time wrinkles brow furrows face say limping age lodge nowwhere youth must give place harbinger death see ride cough cold gasping breathdoth bid providea pickaxe spade eke shrouding sheet house clay madefor guest meet methinks hear clarkthat knolls careful knell bids leave woeful wark ere nature compel keepers knit knotthat youth laugh scorn clean shall forgotas born thus must youth give whose badge long wear yield wanton cupthat better may bear lo bared skull whose bald sign knowthat stooping age away shall pullwhich youthful years sow beauty bandthese crooked cares hath wrought shipped landfrom whence first brought ye bide behind ye none trust ye clay cast kind shall ye waste dust,The Aged Lover Renounceth Love,Renaissance,Love
henry howard  earl of surrey,alas things hold peace heaven earth disturbed thing beasts air birds song cease nightes car stars doth bring calm sea waves work less less love alas doth wring bringing face great increase desires whereat weep sing joy woe doubtful case sweet thoughts sometime pleasure bring cause disease gives pang inwardly doth sting think grief againto live lack thing rid pain,"""Alas, so all things now do hold their peace!""",Renaissance,Love
edmund spenser,happy ye leaves lilly hands hold life dead mightshall handle hold loves soft bands lyke captives trembling victors sight happy lines starry light lamping eyes deigne sometimes lookand reade sorrowes dying spright written teares harts close bleeding book happy rymes bathd sacred brooke helicon whence derived ye behold angels blessed looke soules long lacked foode heavens blis leaves lines rymes seeke please alone ye please care none,Amoretti I: Happy ye leaves when as those lilly hands,Renaissance,Love
edmund spenser,new yeare forth looking janus gate doth seeme promise hope new delight bidding thold adieu pass,"Amoretti IV: ""New yeare forth looking out of Janus gate""",Renaissance,Love
edmund spenser,worlds theatre stay love lyke spectator ydly sitsbeholding pageants play disguysing diversly troubled wits sometimes joy glad occasion fits mask myrth lyke comedy soone joy sorrow flits waile make woes tragedy yet beholding constant eye delights merth rues smart laugh mocks cryshe laughes hardens evermore hart move merth mone woman sencelesse stone,Amoretti LIV: Of this worlds Theatre in which we stay,Renaissance,Love
